Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh p.90,SoT p.90,xG,npxG
Matt Doherty,ie IRL,DFMF,Tottenham,31-113,1992,7.4,1,10,2,20.0,01.35,00.27,0.8,0.8
Gabriel Dos Santos,br BRA,DF,Arsenal,25-141,1997,34.9,3,30,9,30.0,01.26,00.26,4.8,4.8
Abdoulaye Doucouré,ml MLI,MF,Everton,30-128,1993,14.0,4,17,6,35.3,01.21,00.43,2.2,2.2
Cheick Doucouré,ml MLI,MF,Crystal Palace,23-121,2000,28.1,0,32,7,21.9,01.14,00.25,1.2,1.2
Flynn Downes,eng ENG,MF,West Ham,24-109,1999,6.5,0,4,1,25.0,01.01,00.15,0.4,0.4
Cody Drameh,eng ENG,DF,Leeds United,21-152,2001,0.8,0,0,0,,00.00,00.00,0.0,0.0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-114,1989,0.7,0,0,0,,00.00,00.00,0.0,0.0
Shane Duffy,ie IRL,DFFW,Fulham,31-128,1992,0.2,0,1,0,0.0,04.50,00.00,0.2,0.2
Lewis Dunk,eng ENG,DF,Brighton,31-169,1991,33.0,1,22,3,13.6,01.07,00.09,1.7,1.7
Jhon Durán,co COL,FWMF,Aston Villa,19-147,2003,1.2,0,7,2,28.6,06.18,02.05,0.6,0.6
Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-247,2003,0.4,0,0,0,,00.00,00.00,0.0,0.0
Ederson,br BRA,GK,Manchester City,29-265,1993,33.0,0,0,0,,00.00,00.00,0.0,0.0
Odsonne Édouard,fr FRA,FW,Crystal Palace,25-113,1998,18.0,4,36,13,36.1,02.00,01.12,3.8,3.8
Samuel Edozie,eng ENG,FWMF,Southampton,20-101,2003,6.3,0,8,3,37.5,01.27,00.48,0.9,0.9
Anthony Elanga,se SWE,FW,Manchester Utd,21-012,2002,4.7,0,10,4,40.0,02.11,01.25,0.7,0.7
Harvey Elliott,eng ENG,MFFW,Liverpool,20-035,2003,17.4,1,30,10,33.3,02.12,00.57,1.9,1.9
Mohamed Elneny,eg EGY,MF,Arsenal,30-302,1992,1.3,0,0,0,,00.00,00.00,0.0,0.0
Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-278,1994,22.4,0,32,8,25.0,01.43,00.36,2.7,2.7
Emerson,br BRA,DF,Tottenham,24-115,1999,16.5,2,15,6,40.0,01.31,00.36,1.6,1.6
Christian Eriksen,dk DEN,MF,Manchester Utd,31-084,1992,19.9,1,34,10,29.4,02.11,00.50,3.9,3.9
Pervis Estupiñán,ec ECU,DF,Brighton,25-108,1998,25.2,0,23,3,13.0,01.31,00.12,1.3,1.3
Jonny Evans,nir NIR,DF,Leicester City,35-126,1988,9.0,0,1,1,100.0,00.11,00.11,0.2,0.2
Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-314,1998,26.3,8,60,21,35.0,02.28,01.20,5.7,4.9
?ukasz Fabia?ski,pl POL,GK,West Ham,38-021,1985,31.6,0,0,0,,00.00,00.00,0.0,0.0
Fabinho,br BRA,MF,Liverpool,29-198,1993,27.2,0,16,4,25.0,00.59,00.15,0.7,0.7
Wout Faes,be BEL,DF,Leicester City,25-036,1998,28.0,0,12,2,16.7,00.43,00.07,0.9,0.9
Felipe,br BRA,DF,Nott'ham Forest,33-358,1989,13.9,0,9,1,11.1,01.05,00.07,0.7,0.7
João Félix,pt POR,FWMF,Chelsea,23-180,1999,9.0,3,37,14,37.8,04.11,01.56,3.7,3.7
Evan Ferguson,ie IRL,FW,Brighton,18-202,2004,7.2,4,26,14,53.8,04.02,02.35,4.1,4.1
Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-243,1994,33.0,6,75,27,36.0,02.27,01.22,7.0,6.2
Enzo Fernández,ar ARG,MF,Chelsea,22-112,2001,13.2,0,16,2,12.5,01.21,00.15,0.7,0.7
Roberto Firmino,br BRA,FWMF,Liverpool,31-219,1991,12.6,9,37,23,62.2,03.33,02.22,4.9,4.9
Junior Firpo,es ESP,DF,Leeds United,26-260,1996,13.9,1,1,1,100.0,00.07,00.07,0.1,0.1
Phil Foden,eng ENG,FW,Manchester City,22-346,2000,16.9,10,38,21,55.3,02.25,01.24,5.0,5.0
Datro Fofana,ci CIV,FW,Chelsea,20-138,2002,0.7,0,3,1,33.3,04.43,01.48,0.2,0.2
Wesley Fofana,fr FRA,DF,Leicester City,22-143,2000,2.0,0,2,1,50.0,01.00,00.50,0.1,0.1
Wesley Fofana,fr FRA,DF,Chelsea,22-143,2000,10.6,1,6,2,33.3,00.56,00.19,0.7,0.7
Pablo Fornals,es ESP,FWMF,West Ham,27-076,1996,14.1,2,22,6,27.3,01.56,00.43,1.9,1.9
Adam Forshaw,eng ENG,MF,Leeds United,31-213,1991,3.1,0,0,0,,00.00,00.00,0.0,0.0
Fraser Forster,eng ENG,GK,Tottenham,35-053,1988,10.5,0,0,0,,00.00,00.00,0.0,0.0
Tyrese Francois,au AUS,FW,Fulham,22-297,2000,0.0,0,0,0,,00.00,00.00,0.0,0.0
Ryan Fraser,sct SCO,FW,Newcastle Utd,29-074,1994,3.5,0,6,1,16.7,02.13,00.29,0.3,0.3
Fred,br BRA,MF,Manchester Utd,30-065,1993,12.8,2,25,5,20.0,02.36,00.39,1.9,1.9
