Player,Nation,Pos,Squad,Age,Born,90s,Shot Creating Actions,SCA90,Goal Creating Actions,GCA90
Scott McTominay,sct SCO,MF,Manchester Utd,26-152,1996,12.5,22,02.16,0,00.00
Ben Mee,eng ENG,DF,Brentford,33-230,1989,33.3,26,01.18,0,00.00
Edouard Mendy,sn SEN,GK,Chelsea,31-069,1992,8.5,0,00.00,0,00.00
Nampalys Mendy,sn SEN,MF,Leicester City,30-320,1992,8.2,9,01.11,0,00.00
Chris Mepham,wls WAL,DF,Bournemouth,25-185,1997,23.4,8,00.34,0,00.00
Illan Meslier,fr FRA,GK,Leeds United,23-068,2000,34.0,4,00.12,0,00.00
Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-028,2002,0.1,0,00.00,0,00.00
Luka Milivojevi?,rs SRB,MF,Crystal Palace,32-032,1991,5.7,3,00.53,0,00.00
James Milner,eng ENG,MFDF,Liverpool,37-125,1986,8.7,32,04.07,3,00.34
Yerry Mina,co COL,DF,Everton,28-228,1994,3.6,1,00.28,0,00.00
Tyrone Mings,eng ENG,DF,Aston Villa,30-057,1993,32.0,21,01.06,4,00.12
Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-250,1999,29.1,31,01.06,3,00.10
Kaoru Mitoma,jp JPN,FW,Brighton,25-354,1997,21.5,94,04.37,12,00.56
Aleksandar Mitrovi?,rs SRB,FW,Fulham,28-235,1994,20.1,53,03.03,9,00.45
Kieffer Moore,wls WAL,FW,Bournemouth,30-274,1992,13.2,17,01.29,2,00.15
Andrew Moran,ie IRL,FW,Brighton,19-206,2003,0.1,0,00.00,0,00.00
Álex Moreno,es ESP,DF,Aston Villa,29-335,1993,13.6,33,02.42,3,00.22
Mason Mount,eng ENG,MFFW,Chelsea,24-119,1999,18.3,57,03.11,7,00.38
Lucas Moura,br BRA,MFDF,Tottenham,30-269,1992,1.4,7,05.36,0,00.00
João Moutinho,pt POR,MF,Wolves,36-243,1986,19.8,66,03.34,3,00.15
Divin Mubama,eng ENG,FW,West Ham,18-196,2004,0.0,0,00.00,0,00.00
Mykhailo Mudryk,ua UKR,FW,Chelsea,22-124,2001,6.4,19,03.39,2,00.31
Jacob Murphy,eng ENG,FW,Newcastle Utd,28-074,1995,13.5,49,04.03,6,00.44
Enock Mwepu,zm ZAM,FWMF,Brighton,25-128,1998,2.4,7,03.36,2,01.25
Vitaliy Mykolenko,ua UKR,DF,Everton,23-345,1999,29.5,46,01.56,3,00.10
Keylor Navas,cr CRC,GK,Nott'ham Forest,36-145,1986,15.0,3,00.20,0,00.00
Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-144,1996,17.0,12,01.11,2,00.12
Reiss Nelson,eng ENG,FW,Arsenal,23-150,1999,1.7,16,10.00,5,03.00
Neto,br BRA,GK,Bournemouth,33-294,1989,24.5,1,00.04,1,00.04
Pedro Neto,pt POR,FWMF,Wolves,23-061,2000,10.2,40,04.31,6,00.59
Rúben Neves,pt POR,MF,Wolves,26-057,1997,31.1,72,02.32,3,00.10
Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-062,1996,9.9,8,01.21,1,00.10
Rasmus Nissen,dk DEN,DF,Leeds United,25-302,1997,18.8,24,01.28,3,00.16
Eddie Nketiah,eng ENG,FW,Arsenal,23-344,1999,11.5,28,02.43,3,00.26
Matheus Nunes,pt POR,MF,Wolves,24-255,1998,25.7,57,02.22,5,00.19
Darwin Núñez,uy URU,FW,Liverpool,23-319,1999,18.8,54,03.27,3,00.16
Ethan Nwaneri,eng ENG,FW,Arsenal,16-049,2007,0.0,0,00.00,0,00.00
Christian Nørgaard,dk DEN,MF,Brentford,29-060,1994,19.6,32,02.03,7,00.36
Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-207,1998,6.5,21,03.24,0,00.00
Odeluga Offiah,eng ENG,DF,Brighton,20-195,2002,0.0,1,30.00.00,0,00.00
Angelo Ogbonna,it ITA,DF,West Ham,34-351,1988,11.7,5,00.43,0,00.00
Michael Olise,fr FRA,FWMF,Crystal Palace,21-148,2001,27.6,123,04.46,11,00.40
Robin Olsen,se SWE,GK,Aston Villa,33-121,1990,3.1,0,00.00,0,00.00
Amadou Onana,be BEL,MF,Everton,21-266,2001,25.4,40,01.58,2,00.08
Josh Onomah,eng ENG,MF,Fulham,26-012,1997,0.2,0,00.00,0,00.00
Paul Onuachu,ng NGA,FW,Southampton,28-346,1994,3.8,7,02.22,0,00.00
Frank Onyeka,ng NGA,MF,Brentford,25-128,1998,7.8,19,02.44,7,01.30
Mislav Orši?,hr CRO,MF,Southampton,30-131,1992,0.1,0,00.00,0,00.00
Stefan Ortega,de GER,GK,Manchester City,30-184,1992,1.0,0,00.00,0,00.00
Dango Ouattara,bf BFA,MFFW,Bournemouth,21-087,2002,11.7,41,03.50,5,00.43
Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-267,1993,3.7,9,02.43,0,00.00
David Ozoh,,FW,Crystal Palace,17-343,2005,0.0,0,00.00,0,00.00
João Palhinha,pt POR,MF,Fulham,27-304,1995,31.7,29,01.32,0,00.00
Cole Palmer,eng ENG,FWMF,Manchester City,21-003,2002,1.7,5,03.00,0,00.00
Emerson Palmieri,it ITA,DFFW,West Ham,28-279,1994,12.4,24,02.33,0,00.00
Lucas Paquetá,br BRA,MF,West Ham,25-255,1997,22.1,68,03.07,9,00.41
Thomas Partey,gh GHA,MF,Arsenal,29-330,1993,25.2,67,03.05,5,00.20
Nathan Patterson,sct SCO,DFMF,Everton,21-205,2001,12.9,20,01.55,0,00.00
Ben Pearson,eng ENG,MF,Bournemouth,28-125,1995,3.2,2,01.03,0,00.00
Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-140,2001,0.6,1,01.58,1,01.58
Andreas Pereira,br BRA,MF,Fulham,27-128,1996,29.9,118,04.34,12,00.40
Ricardo Pereira,pt POR,DFMF,Leicester City,29-215,1993,4.3,14,03.26,1,00.23
Ayoze Pérez,es ESP,MFFW,Leicester City,29-284,1993,4.2,14,03.29,2,00.47
Ivan Periši?,hr CRO,DFMF,Tottenham,34-096,1989,23.3,72,03.08,11,00.47
Romain Perraud,fr FRA,DF,Southampton,25-229,1997,20.4,38,02.26,5,00.25
Máximo Perrone,ar ARG,MF,Manchester City,20-122,2003,0.2,1,05.14,0,00.00
Kalvin Phillips,eng ENG,MF,Manchester City,27-158,1995,1.2,2,02.04,0,00.00
Nathaniel Phillips,eng ENG,DF,Liverpool,26-049,1997,0.7,1,01.36,0,00.00
Jordan Pickford,eng ENG,GK,Everton,29-063,1994,34.0,10,00.29,1,00.03
Ethan Pinnock,jm JAM,DF,Brentford,29-345,1993,27.0,22,01.21,4,00.15
