Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Cmp - short,Att - short,Cmp% - short,Cmp - medium,Att - medium,Cmp% - medium,Cmp - long,Att - long,Cmp% - long,Ast,xAG,xA,Key Passes,Passes Into Final 3rd,Passes Into Penalty Area,Crs Into Penalty Area,Prg
132,Eric Dier,eng ENG,DF,Tottenham,29-107,1994,31.3,1708,636,688,92.4,866,934,92.7,179,317,56.5,1,1.2,0.6,7,76,8,3,87
133,Lucas Digne,fr FRA,DF,Aston Villa,29-286,1993,15.0,652,367,409,89.7,230,310,74.2,44,92,47.8,0,1.8,1.7,17,35,22,14,51
134,Issa Diop,fr FRA,DF,Fulham,26-113,1997,17.5,934,282,316,89.2,552,600,92.0,97,169,57.4,0,0.0,0.2,1,58,3,0,58
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-321,1998,7.7,169,99,113,87.6,56,79,70.9,8,20,40.0,2,0.5,0.4,8,13,5,3,18
136,Ben Doak,sct SCO,FW,Liverpool,17-172,2005,0.3,10,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-106,1992,7.4,329,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,6,14,5,3,20
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-134,1997,32.9,1895,754,801,94.1,986,1046,94.3,134,220,60.9,0,0.2,0.6,4,153,3,0,143
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-121,1993,13.0,357,211,257,82.1,123,145,84.8,5,10,50.0,2,1.8,0.9,17,26,10,0,35
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-114,2000,27.1,907,430,478,90.0,388,452,85.8,70,97,72.2,3,1.9,1.1,24,99,10,1,125
141,Flynn Downes,eng ENG,MF,West Ham,24-102,1999,5.5,158,106,114,93.0,40,50,80.0,6,9,66.7,0,0.0,0.1,1,11,1,0,13
142,Cody Drameh,eng ENG,DF,Leeds United,21-145,2001,0.8,30,17,21,81.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0,2,0,0,2
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-107,1989,0.7,19,9,9,100.0,4,4,100.0,5,8,62.5,0,0.0,0.0,0,1,0,0,0
144,Shane Duffy,ie IRL,FWDF,Fulham,31-121,1992,0.1,2,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
145,Lewis Dunk,eng ENG,DF,Brighton,31-162,1991,31.0,2466,884,935,94.5,1294,1358,95.3,251,381,65.9,0,1.0,0.8,9,152,8,1,129
146,Jhon Durán,co COL,FWMF,Aston Villa,19-140,2003,1.1,13,6,8,75.0,6,10,60.0,1,2,50.0,0,0.0,0.0,0,0,1,0,3
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-240,2003,0.4,5,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,2
148,Ederson,br BRA,GK,Manchester City,29-258,1993,32.0,981,214,216,99.1,512,519,98.7,254,404,62.9,1,0.2,0.2,1,12,0,0,0
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-106,1998,17.9,270,192,239,80.3,51,81,63.0,5,10,50.0,2,1.1,0.7,15,9,9,0,32
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-094,2003,6.1,106,72,90,80.0,21,33,63.6,4,9,44.4,0,0.3,0.4,6,5,6,1,12
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-005,2002,4.7,95,65,86,75.6,23,32,71.9,3,3,100.0,1,0.9,1.0,6,3,3,0,8
